time	V(out)	V(outr)
4.108164285712020e-03	6.561080e-01	6.604848e-01
4.122778571426345e-03	6.571846e-01	6.615572e-01
4.137392857140671e-03	6.582434e-01	6.626121e-01
4.152007142854997e-03	6.592844e-01	6.636494e-01
4.166621428569323e-03	6.603077e-01	6.646691e-01
4.181235714283648e-03	6.613132e-01	6.656713e-01
4.195849999997974e-03	6.623010e-01	6.666560e-01
4.195949999997974e-03	6.623077e-01	6.666627e-01
4.210564285712300e-03	6.632780e-01	6.676300e-01
4.225178571426625e-03	6.642310e-01	6.685803e-01
4.239792857140951e-03	6.651668e-01	6.695136e-01
4.254407142855277e-03	6.660853e-01	6.704299e-01
4.269021428569603e-03	6.669865e-01	6.713291e-01
4.283635714283928e-03	6.678705e-01	6.722113e-01
4.298249999998254e-03	6.687373e-01	6.730766e-01
4.298349999998254e-03	6.687432e-01	6.730824e-01
4.312964285712580e-03	6.695928e-01	6.739307e-01
4.327578571426905e-03	6.704255e-01	6.747624e-01
4.342192857141231e-03	6.712413e-01	6.755774e-01
4.356807142855557e-03	6.720401e-01	6.763757e-01
4.371421428569883e-03	6.728219e-01	6.771573e-01
4.386035714284208e-03	6.735867e-01	6.779222e-01
4.400649999998534e-03	6.743346e-01	6.786705e-01
4.400749999998534e-03	6.743397e-01	6.786755e-01
4.415364285712860e-03	6.750707e-01	6.794071e-01
4.429978571427185e-03	6.757849e-01	6.801222e-01
4.444592857141511e-03	6.764822e-01	6.808207e-01
4.459207142855837e-03	6.771626e-01	6.815026e-01
4.473821428570163e-03	6.778262e-01	6.821680e-01
4.488435714284488e-03	6.784729e-01	6.828169e-01
4.503049999998814e-03	6.791028e-01	6.834492e-01
4.503149999998814e-03	6.791070e-01	6.834535e-01
4.517764285713140e-03	6.797199e-01	6.840692e-01
4.532378571427465e-03	6.803159e-01	6.846683e-01
4.546992857141791e-03	6.808948e-01	6.852507e-01
4.561607142856117e-03	6.814568e-01	6.858166e-01
4.576221428570443e-03	6.820017e-01	6.863658e-01
4.590835714284768e-03	6.825297e-01	6.868983e-01
4.605449999999094e-03	6.830407e-01	6.874143e-01
4.605549999999094e-03	6.830442e-01	6.874177e-01
4.620164285713420e-03	6.835379e-01	6.879169e-01
4.634778571427745e-03	6.840144e-01	6.883991e-01
4.649392857142071e-03	6.844737e-01	6.888644e-01
4.664007142856397e-03	6.849158e-01	6.893128e-01
4.678621428570723e-03	6.853407e-01	6.897444e-01
4.693235714285048e-03	6.857484e-01	6.901591e-01
4.707849999999374e-03	6.861389e-01	6.905568e-01
4.707949999999374e-03	6.861415e-01	6.905595e-01
4.810349999999654e-03	6.883938e-01	6.928689e-01
4.912749999999935e-03	6.898013e-01	6.943452e-01
5.015150000000215e-03	6.903666e-01	6.949900e-01
5.027307142857391e-03	6.903780e-01	6.950115e-01
5.039464285714567e-03	6.903777e-01	6.950214e-01
5.051621428571743e-03	6.903657e-01	6.950197e-01
5.063778571428919e-03	6.903420e-01	6.950064e-01
5.075935714286095e-03	6.903066e-01	6.949815e-01
5.088092857143271e-03	6.902595e-01	6.949451e-01
5.100250000000447e-03	6.902007e-01	6.948971e-01
